"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"1707","Norfolk city","Virginia","Large","Bike",576,0.5,0.1,"VA","South"
"1708","North Las Vegas city","Nevada","Large","Bike",179,0.2,0.1,"NV","West"
"1709","Oakland city","California","Large","Bike",4346,2.4,0.3,"CA","West"
"1710","Oklahoma City city","Oklahoma","Large","Bike",494,0.2,0.1,"OK","South"
"1711","Omaha city","Nebraska","Large","Bike",393,0.2,0.1,"NE","North Central"
"1712","Orlando city","Florida","Large","Bike",532,0.4,0.1,"FL","South"
"1713","Oxnard city","California","Large","Bike",542,0.6,0.2,"CA","West"
"1714","Philadelphia city","Pennsylvania","Large","Bike",11755,2,0.2,"PA","Northeast"
"1715","Phoenix city","Arizona","Large","Bike",4640,0.7,0.1,"AZ","West"
"1716","Pittsburgh city","Pennsylvania","Large","Bike",1893,1.3,0.2,"PA","Northeast"
"1717","Plano city","Texas","Large","Bike",122,0.1,0.1,"TX","South"
"1718","Portland city","Oregon","Large","Bike",18315,6.1,0.3,"OR","West"
"1719","Raleigh city","North Carolina","Large","Bike",1175,0.6,0.2,"NC","South"
"1720","Reno city","Nevada","Large","Bike",982,0.9,0.2,"NV","West"
"1721","Richmond city","Virginia","Large","Bike",1960,2.1,0.3,"VA","South"
"1722","Riverside city","California","Large","Bike",1126,0.9,0.2,"CA","West"
"1723","Rochester city","New York","Large","Bike",1021,1.2,0.2,"NY","Northeast"
"1724","Sacramento city","California","Large","Bike",4935,2.5,0.3,"CA","West"
"1725","San Antonio city","Texas","Large","Bike",1011,0.2,0.1,"TX","South"
"1726","San Bernardino city","California","Large","Bike",265,0.4,0.2,"CA","West"
"1727","San Diego city","California","Large","Bike",5885,0.9,0.1,"CA","West"
"1728","San Francisco city","California","Large","Bike",14833,3.4,0.2,"CA","West"
"1729","San Jose city","California","Large","Bike",4023,0.9,0.1,"CA","West"
"1730","Santa Ana city","California","Large","Bike",1629,1.1,0.2,"CA","West"
"1731","Scottsdale city","Arizona","Large","Bike",1119,1,0.3,"AZ","West"
"1732","Seattle city","Washington","Large","Bike",11970,3.4,0.2,"WA","West"
"1733","Shreveport city","Louisiana","Large","Bike",63,0.1,0.1,"LA","South"
"1734","Spokane city","Washington","Large","Bike",1130,1.2,0.3,"WA","West"
"1735","St. Louis city","Missouri","Large","Bike",1150,0.8,0.2,"MO","North Central"
"1736","St. Paul city","Minnesota","Large","Bike",1572,1.1,0.2,"MN","North Central"
"1737","St. Petersburg city","Florida","Large","Bike",1381,1.2,0.2,"FL","South"
"1738","Stockton city","California","Large","Bike",658,0.6,0.2,"CA","West"
"1739","Tacoma city","Washington","Large","Bike",654,0.7,0.2,"WA","West"
"1740","Tampa city","Florida","Large","Bike",2128,1.4,0.2,"FL","South"
"1741","Toledo city","Ohio","Large","Bike",388,0.3,0.1,"OH","North Central"
"1742","Tucson city","Arizona","Large","Bike",5527,2.4,0.2,"AZ","West"
"1743","Tulsa city","Oklahoma","Large","Bike",657,0.4,0.1,"OK","South"
"1744","Urban Honolulu CDP","Hawaii","Large","Bike",3070,1.8,0.2,"HI","West"
"1745","Virginia Beach city","Virginia","Large","Bike",1629,0.7,0.2,"VA","South"
"1746","Washington city","District of Columbia","Large","Bike",9347,3.1,0.2,NA,NA
"1747","Wichita city","Kansas","Large","Bike",476,0.3,0.1,"KS","North Central"
"1748","Winston-Salem city","North Carolina","Large","Bike",172,0.2,0.1,"NC","South"
"1749","Aberdeen city","South Dakota","Small","Walk",618,4.4,1,"SD","North Central"
"1750","Acworth city","Georgia","Small","Walk",112,1.1,1.5,"GA","South"
"1751","Addison village","Illinois","Small","Walk",144,0.8,0.6,"IL","North Central"
"1752","Adelanto city","California","Small","Walk",38,0.5,0.6,"CA","West"
"1753","Adrian city","Michigan","Small","Walk",937,11.8,2.2,"MI","North Central"
"1754","Agawam Town city","Massachusetts","Small","Walk",246,1.6,1.1,"MA","Northeast"
"1755","Agoura Hills city","California","Small","Walk",223,2.2,1.6,"CA","West"
"1756","Aiken city","South Carolina","Small","Walk",319,2.7,1.2,"SC","South"
"1757","Alabaster city","Alabama","Small","Walk",38,0.2,0.2,"AL","South"
"1758","Alameda city","California","Small","Walk",1452,3.9,0.8,"CA","West"
"1759","Alamogordo city","New Mexico","Small","Walk",193,1.5,0.8,"NM","West"
"1760","Albany city","Georgia","Small","Walk",1140,4,1,"GA","South"
"1761","Albany city","New York","Small","Walk",4470,9.9,1.1,"NY","Northeast"
"1762","Albany city","Oregon","Small","Walk",780,3.7,1,"OR","West"
"1763","Albertville city","Alabama","Small","Walk",26,0.3,0.3,"AL","South"
"1764","Alexandria city","Louisiana","Small","Walk",282,1.5,0.5,"LA","South"
"1765","Algonquin village","Illinois","Small","Walk",56,0.4,0.3,"IL","North Central"
